Q1,Q2,Q3,Q4,Q5,Q29,Q30,Q31_1,Q31_2,Q31_3,Q32_1,Q32_2,Q33
I have read the terms and I accept the conditions [click here if you agree],Transgender,Yes,Engineering and technology,,0,,4.0,10.0,6.0,11.0,11.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Engineering and technology,,0,,4.0,4.0,4.0,11.0,11.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Engineering and technology,Université Clermont-Auvergne,0,,4.0,6.0,5.0,10.0,8.0,"Il faudrait qu'en ces temps, une telle application soit installée par défaut. Cependant cela causerai quelques conflit ave les personnes pouvant être contres. Certains ne veulent pas pouvoir être tracer, d'autres ne sont pas déranger. Donc l'avis de la majorité doit-il primer sur celui de la minorité ?Je sait pas. Mais je pense qu'une telle application présenterai bien plus d'avantages que d'inconvénients."
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Natural science,UCA,0,,4.0,5.0,1.0,11.0,6.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Engineering and technology,,0,,4.0,9.0,2.0,9.0,9.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Natural science,uca,0,,4.0,10.0,4.0,11.0,9.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Humanities,Paris 1,0,,4.0,9.0,1.0,11.0,11.0,"My favourite would really be not to habe any app to use. I really dislike the fact that I would NEED a smartphone + and application EVERYWHERE and AT ANY TIME. Regardless of how greatly my data is protected, I believe it restrictis way to much my freedom, and fundamental rights."
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Medical and health science,UFR Pharmacie,1,1,4.0,8.0,7.0,10.0,4.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Medical and health science,,0,,4.0,7.0,1.0,11.0,6.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Humanities,Carnot,1,0,4.0,7.0,5.0,10.0,7.0,
I have read the terms and I accept the conditions [click here if you agree],No-binary,Yes,Humanities,Université Paris 1 Panthéon Sorbonne,0,,4.0,6.0,3.0,10.0,6.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Social science,Université d'AvigNo,0,,4.0,9.0,3.0,7.0,7.0,"Personnellement, le fait de vivre dans un pays où un couvre feu est institué, mes mouvements sont déjà réglementés et contraints depuis un an.. tout cela m’effraie, j’ai l’impression d’être dans un épisode de black mirror donc je ne veux pas donner encore au gouvernement un moyen de me contrôler."
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Humanities,Universtié d'AvigNo,0,,4.0,8.0,8.0,11.0,7.0,
,Female,Yes,Humanities,Universtié d'AvigNo,1,1,4.0,9.0,3.0,11.0,6.0,
,Female,Yes,Medical and health science,Universtié d'AvigNo,0,,4.0,5.0,5.0,9.0,4.0,
,Female,Yes,Medical and health science,Universtié d'AvigNo,0,,4.0,3.0,3.0,3.0,3.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Engineering and technology,centralesupélec,0,,5.0,6.0,3.0,11.0,11.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Engineering and technology,CentraleSupélec,1,0,5.0,7.0,3.0,9.0,5.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Social science,Université Côte d'Azur,1,0,5.0,8.0,3.0,8.0,7.0,"En fait, l'applicaation que j'ai téléchargé, m'a demandé d'utiliser le bluetooth, donc c'est pour ça que je l'ai effacé"
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Social science,Université Paris 1 Panthéon Sorbonne,0,,5.0,9.0,4.0,9.0,8.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Engineering and technology,Université de Lille,1,1,5.0,5.0,5.0,5.0,5.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Engineering and technology,Paris 1,0,,5.0,5.0,1.0,11.0,11.0,"Le problème avec les sociétés privées n'est pas la protection des données ou le fait que le code soit propriétaire, c'est plutôt qu'elles ont des intérêts économiques à récupérer la moindre information sur vous et qu'il est très fastidieux voire impossible de contrôler les données qu'elles récoltent nous concernant. De plus, les sociétés privées échangent entre-elles les informations qu'elles possèdent sur leurs utilisateurs sans en avertir ce dernier."
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Medical and health science,Université de Paris,0,,5.0,6.0,6.0,8.0,3.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Engineering and technology,,1,1,5.0,8.0,8.0,11.0,8.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Social science,Université de Lille,0,,5.0,7.0,3.0,11.0,8.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Social science,Ucly,0,,5.0,4.0,4.0,11.0,6.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Humanities,Faculté droit  LYON 3 Manufacture des Tabacs,0,,5.0,5.0,3.0,11.0,6.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Medical and health science,Faculté de Claude Bernard Lyon 1,0,,5.0,3.0,3.0,11.0,11.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Social science,Esdes business school,0,,5.0,4.0,3.0,4.0,3.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Medical and health science,Ecole d’orthophonie,0,,5.0,5.0,5.0,11.0,7.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Natural science,,0,,5.0,6.0,2.0,11.0,9.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Natural science,,0,,5.0,7.0,7.0,7.0,8.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Social science,Université clermont Auvergne,0,,5.0,8.0,3.0,9.0,9.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Engineering and technology,Polytech + fac,0,,5.0,7.0,3.0,11.0,6.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Natural science,Clermont Ferrand Université,0,,5.0,8.0,2.0,7.0,10.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Humanities,CPGE Blaise Pascal de Clermont-Ferrand,0,,5.0,8.0,1.0,11.0,10.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Medical and health science,UCA Cezeaux,0,,5.0,5.0,7.0,5.0,5.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Natural science,UCA UFR Biologie,0,,5.0,6.0,6.0,7.0,5.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Natural science,Université de Clermont Auvergne,0,,5.0,10.0,9.0,10.0,9.0,Aucun
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Natural science,UCA - UFR Biologie,0,,5.0,8.0,4.0,11.0,11.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Natural science,,0,,5.0,8.0,3.0,8.0,11.0,
I have read the terms and I accept the conditions [click here if you agree],Female,Yes,Medical and health science,Uca,0,,5.0,7.0,6.0,9.0,8.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Engineering and technology,Université Clermont Auvergne,0,,5.0,6.0,6.0,11.0,9.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Engineering and technology,Sigma Clermont,0,,5.0,10.0,4.0,7.0,10.0,
I have read the terms and I accept the conditions [click here if you agree],Male,Yes,Engineering and technology,Polytech,0,,5.0,7.0,2.0,5.0,5.0,
